"Species","Common","Category","dom_common"
"Mephitis mephitis","Domesticated striped skunk (Mephitis mephitis)","Domesticated Animal",NA
"Malus pumila","Apple","Domesticated Plant Fruit",NA
"Pseudocydonia sinensis","Chinese quince","Domesticated Plant Fruit",NA
"Aronia melanocarpa","Chokeberry","Domesticated Plant Fruit",NA
"Planchonia careya","Cocky apple","Domesticated Plant Fruit",NA
"Crataegus aestivalis","Eastern mayhaw","Domesticated Plant Fruit",NA
"Crataegus rhipidophylla","Hawthorn","Domesticated Plant Fruit",NA
"Genipa americana","Jagua","Domesticated Plant Fruit",NA
"Eriobotrya japonica","Loquat","Domesticated Plant Fruit",NA
"Flacourtia inermis","Lovi-lovi","Domesticated Plant Fruit",NA
"Mespilus germanica","Medlar","Domesticated Plant Fruit",NA
"Malus niedzwetzkyana","Niedzwetzky's apple","Domesticated Plant Fruit",NA
"Pyrus communis","Pear","Domesticated Plant Fruit",NA
"Cydonia oblonga","Quince","Domesticated Plant Fruit",NA
"Flacourtia indica","Ramontchi","Domesticated Plant Fruit",NA
"Rosa rugosa","Rose hip","Domesticated Plant Fruit",NA
"Sorbus aucuparia","Rowan","Domesticated Plant Fruit",NA
"Manilkara zapota","Sapodilla","Domesticated Plant Fruit",NA
"Pyracantha coccinea","Scarlet firethorn","Domesticated Plant Fruit",NA
"Amelanchier alnifolia","Serviceberry","Domesticated Plant Fruit",NA
"× Sorbopyrus irregularis","Shipova","Domesticated Plant Fruit",NA
"Sorbus domestica","Sorb","Domesticated Plant Fruit",NA
"Malus angustifolia","Southern crabapple","Domesticated Plant Fruit",NA
"Heteromeles arbutifolia","Toyon","Domesticated Plant Fruit",NA
"Euterpe oleracea","Açaí","Domesticated Plant Fruit",NA
"Malpighia emarginata","Acerola","Domesticated Plant Fruit",NA
"Irvingia gabonensis","African mango","Domesticated Plant Fruit",NA
"Garcinia livingstonei","African mangosteen","Domesticated Plant Fruit",NA
"Elaeis guineensis","African oil palm fruit","Domesticated Plant Fruit",NA
"Cornus × unalaschkensis","Alaskan bunchberry","Domesticated Plant Fruit",NA
"Spondias dulcis","Ambarella","Domesticated Plant Fruit",NA
"Elaeis oleifera","American oil palm fruit","Domesticated Plant Fruit",NA
"Prunus americana","American plum","Domesticated Plant Fruit",NA
"Prunus armeniaca","Apricot","Domesticated Plant Fruit",NA
"Mangifera pajang","Bambangan","Domesticated Plant Fruit",NA
"Prunus maritima","Beach plum","Domesticated Plant Fruit",NA
"Antidesma bunius","Bignay","Domesticated Plant Fruit",NA
"Mangifera caesia","Binjai","Domesticated Plant Fruit",NA
"Prunus serotina","Black cherry","Domesticated Plant Fruit",NA
"Parajubaea torallyi","Bolivian mountain coconut","Domesticated Plant Fruit",NA
"Syzygium australe","Brush cherry","Domesticated Plant Fruit",NA
"Dacryodes edulis","Bush butter fruit","Domesticated Plant Fruit",NA
"Cornus canadensis","Canadian bunchberry","Domesticated Plant Fruit",NA
"Casimiroa edulis","Casimiroa","Domesticated Plant Fruit",NA
"Eugenia reinwardtiana","Cedar Bay cherry","Domesticated Plant Fruit",NA
"Byrsonima crassifolia","Changunga","Domesticated Plant Fruit",NA
"Prunus avium","Cherry","Domesticated Plant Fruit","sweet cherry"
"Elaeagnus multiflora","Cherry elaeagnus","Domesticated Plant Fruit",NA
"Eugenia involucrata","Cherry of the Rio Grande","Domesticated Plant Fruit",NA
"Ziziphus mauritiana","Chinese date","Domesticated Plant Fruit",NA
"Prunus virginiana","Choke cherry","Domesticated Plant Fruit",NA
"Chrysobalanus icaco","Cocoplum","Domesticated Plant Fruit",NA
"Cocos nucifera","Coconut","Domesticated Plant Fruit","c(""coconut palm"", ""Palma de Coco"")"
"Cornus mas","Cornelian cherry","Domesticated Plant Fruit",NA
"Terminalia catappa","Country-almond","Domesticated Plant Fruit",NA
"Prunus rivularis","Creek plum","Domesticated Plant Fruit",NA
"Empetrum nigrum","Crowberry","Domesticated Plant Fruit",NA
"Murraya koenigii","Curry berry","Domesticated Plant Fruit",NA
"Prunus domestica subsp. insititia","Damson","Domesticated Plant Fruit",NA
"Phoenix dactylifera","Date","Domesticated Plant Fruit","date palm"
"Santalum acuminatum","Desert quandong","Domesticated Plant Fruit",NA
"Phyllanthus emblica","Emblic","Domesticated Plant Fruit",NA
"Owenia acidula","Emu apple","Domesticated Plant Fruit",NA
"Litsea garciae","Engkala","Domesticated Plant Fruit",NA
"Syzygium fibrosum","Fibrous satinash","Domesticated Plant Fruit",NA
"Prunus umbellata","Flatwoods plum","Domesticated Plant Fruit",NA
"Gomortega keule","Gomortega","Domesticated Plant Fruit",NA
"Prunus domestica subsp. italica","Greengage","Domesticated Plant Fruit",NA
"Buchanania obovata","Green plum","Domesticated Plant Fruit",NA
"Myrciaria floribunda","Guavaberry","Domesticated Plant Fruit",NA
"Terminalia ferdinandiana","Gubinge","Domesticated Plant Fruit",NA
"Nephelium xerospermoides","Hairless rambutan","Domesticated Plant Fruit",NA
"Syzygium cumini","Jambolan","Domesticated Plant Fruit",NA
"Butia capitata","Jelly palm fruit","Domesticated Plant Fruit",NA
"Spondias purpurea","Jocote","Domesticated Plant Fruit",NA
"Ziziphus jujuba","Jujube","Domesticated Plant Fruit",NA
"Prunus salicina spp.","Kelsey plum","Domesticated Plant Fruit",NA
"Cocos nucifera var. aurantiaca","King coconut","Domesticated Plant Fruit",NA
"Nephelium hypoleucum","Korlan","Domesticated Plant Fruit",NA
"Buchanania arborescens","Little gooseberry","Domesticated Plant Fruit",NA
"Dimocarpus Longan","Longan","Domesticated Plant Fruit",NA
"Litchi chinensis","Lychee","Domesticated Plant Fruit",NA
"Syzygium malaccense","Malay rose apple","Domesticated Plant Fruit",NA
"Pouteria sapota","Mamey sapote","Domesticated Plant Fruit",NA
"Mangifera indica","Mango","Domesticated Plant Fruit",NA
"Bouea macrophylla","Maprang","Domesticated Plant Fruit",NA
"Sclerocarya birrea","Marula","Domesticated Plant Fruit",NA
"Synsepalum dulcificum","Miracle fruit","Domesticated Plant Fruit",NA
"Mauritia flexuosa","Moriche palm fruit","Domesticated Plant Fruit",NA
"Prunus persica var. nucipersica","Nectarine","Domesticated Plant Fruit",NA
"Azadirachta indica","Neem","Domesticated Plant Fruit",NA
"Choerospondias axillaris","Nepali hog plum","Domesticated Plant Fruit",NA
"Myristica fragrans","Nutmeg","Domesticated Plant Fruit",NA
"Phyllanthus acidus","Otaheite gooseberry","Domesticated Plant Fruit",NA
"Prunus persica","Peach","Domesticated Plant Fruit","peach"
"Bunchosia glandulifera","Peanut butter fruit","Domesticated Plant Fruit",NA
"Caryocar brasiliense","Pequi","Domesticated Plant Fruit",NA
"Coccoloba diversifolia","Pigeon plum","Domesticated Plant Fruit",NA
"Canarium ovatum","Pili","Domesticated Plant Fruit",NA
"Eugenia uniflora","Pitanga","Domesticated Plant Fruit",NA
"Prunus domestica","Plum","Domesticated Plant Fruit","European plum"
"Nephelium mutabile","Pulasan","Domesticated Plant Fruit",NA
"Nephelium lappaceum","Rambutan","Domesticated Plant Fruit",NA
"Syzygium suborbiculare","Red bush apple","Domesticated Plant Fruit",NA
"Syzygium luehmannii","Riberry","Domesticated Plant Fruit",NA
"Sageretia theezans","Sageretia","Domesticated Plant Fruit",NA
"Serenoa repens","Saw palmetto fruit","Domesticated Plant Fruit",NA
"Lodoicea maldivica","Sea coconut","Domesticated Plant Fruit",NA
"Ardisia elliptica","Shoebutton ardisia","Domesticated Plant Fruit",NA
"Shepherdia argentea","Silver buffaloberry","Domesticated Plant Fruit",NA
"Prunus spinosa","Sloe","Domesticated Plant Fruit","blackthorn"
"Mimusops elengi","Spanish cherry","Domesticated Plant Fruit",NA
"Melicoccus bijugatus","Spanish lime","Domesticated Plant Fruit",NA
"Dialium indum","Tamarind-plum","Domesticated Plant Fruit",NA
"Dialium cochinchinense","Velvet tamarind","Domesticated Plant Fruit",NA
"Dialium guineense","Velvet tamarind","Domesticated Plant Fruit",NA
"Syzygium aqueum","Watery rose apple","Domesticated Plant Fruit",NA
"Syzygium samarangense","Wax apple","Domesticated Plant Fruit",NA
"Terminalia carpentariae","Wild peach","Domesticated Plant Fruit",NA
"Manilkara kauki","Wongi","Domesticated Plant Fruit",NA
"Myrica rubra","Yangmei","Domesticated Plant Fruit",NA
"Ximenia americana","Yellow plum","Domesticated Plant Fruit",NA
"Prunus domestica subsp. domestica","Zwetschge","Domesticated Plant Fruit",NA
"Citropsis articulata","African cherry orange","Domesticated Plant Fruit",NA
"Citrus × natsudaidai","Amanatsu","Domesticated Plant Fruit",NA
"Citrus medica ssp. bajoura","Bajoura citron","Domesticated Plant Fruit",NA
"Citrus bergamia","Bergamot orange","Domesticated Plant Fruit",NA
"Citrus × aurantium","Bitter orange","Domesticated Plant Fruit",NA
"Citrus australasica var. sanguinea × 'Ellendale Mandarin'","Blood lime","Domesticated Plant Fruit",NA
"Citrus × sinensis 'Blood Orange'","Blood orange","Domesticated Plant Fruit",NA
"Citrus medica var. sarcodactylis","Buddha's hand","Domesticated Plant Fruit",NA
"× Citrofortunella microcarpa","Calamondin","Domesticated Plant Fruit",NA
"Citrus reticulata × sinensis","Cam sành","Domesticated Plant Fruit",NA
"Citrus margarita 'Centennial Variegated Kumquat'","Centennial variegated kumquat","Domesticated Plant Fruit",NA
"Citrus medica","Citron","Domesticated Plant Fruit","citron"
"Citrus × clementina","Clementine","Domesticated Plant Fruit",NA
"Citrus glauca","Desert lime","Domesticated Plant Fruit",NA
"Citrus medica var. ethrog","Etrog","Domesticated Plant Fruit",NA
"Citrus australasica","Finger lime","Domesticated Plant Fruit",NA
"Citrus × limonimedica","Florentine citron","Domesticated Plant Fruit",NA
"Citrus × paradisi","Grapefruit","Domesticated Plant Fruit",NA
"Citrus tamurana","Hyuganatsu","Domesticated Plant Fruit",NA
"Citrus cavaleriei","Ichang papeda","Domesticated Plant Fruit",NA
"Citrus × iyo","Iyokan","Domesticated Plant Fruit",NA
"Citrus obovata","Jiangsu kumquat","Domesticated Plant Fruit",NA
"Citrus sphaerocarpa","Kabosu","Domesticated Plant Fruit",NA
"Citrus hystrix","Kaffir lime","Domesticated Plant Fruit",NA
"Citrus × aurantiifolia","Key lime","Domesticated Plant Fruit",NA
"Citrus nobilis × citrus × deliciosa","Kinnow","Domesticated Plant Fruit",NA
"Citrus unshiu × citrus sinensis","Kiyomi","Domesticated Plant Fruit",NA
"Citrus japonica","Kumquat","Domesticated Plant Fruit",NA
"Citrus limon","Lemon","Domesticated Plant Fruit",NA
"Citrus × latifolia","Lime","Domesticated Plant Fruit",NA
"Citrus × floridana","Limequat","Domesticated Plant Fruit",NA
"Citrus reticulata","Mandarin orange","Domesticated Plant Fruit","tangerine"
"Citrus mangshanensis","Mangshanyegan","Domesticated Plant Fruit",NA
"Citrus × meyeri","Meyer lemon","Domesticated Plant Fruit",NA
"Citrus myrtifolia","Myrtle-leaved orange","Domesticated Plant Fruit",NA
"Citrus flaviculpus","Ōgonkan","Domesticated Plant Fruit",NA
"Citrus × sinensis","Orange","Domesticated Plant Fruit",NA
"Citrus grandis × citrus paradisi","Oroblanco","Domesticated Plant Fruit",NA
"Citrus margarita","Oval kumquat","Domesticated Plant Fruit",NA
"Citrus × latifolia","Persian lime","Domesticated Plant Fruit",NA
"Citrus maxima","Pomelo","Domesticated Plant Fruit","c(""shaddock"", ""pomelo"", ""pummelo"")"
"Citrus × pyriformis","Ponderosa lemon","Domesticated Plant Fruit",NA
"Citrus × limonia","Rangpur","Domesticated Plant Fruit",NA
"Citrus australis","Round lime","Domesticated Plant Fruit",NA
"Citrus unshiu","Satsuma mandarin","Domesticated Plant Fruit",NA
"Citrus cavaleriei × citrus","Shangjuan","Domesticated Plant Fruit",NA
"Citrus flaviculpus × citrus unshiu","Shonan gold","Domesticated Plant Fruit",NA
"Citrus sudachi","Sudachi","Domesticated Plant Fruit",NA
"Citrus limetta","Sweet limetta","Domesticated Plant Fruit",NA
"Citrus × depressa","Taiwan tangerine","Domesticated Plant Fruit",NA
"Citrus × tangelo","Tangelo","Domesticated Plant Fruit",NA
"Citrus tangerina","Tangerine","Domesticated Plant Fruit",NA
"Citrus reticulata × sinensis","Tangor","Domesticated Plant Fruit",NA
"Citrus reticulata × citrus paradisi","Ugli fruit","Domesticated Plant Fruit",NA
"Citrus junos","Yuzu","Domesticated Plant Fruit",NA
"Garcinia humilis","Achacha","Domesticated Plant Fruit",NA
"Pourouma cecropiifolia","Amazon grape","Domesticated Plant Fruit",NA
"Sambucus canadensis","American black elderberry","Domesticated Plant Fruit",NA
"Sambucus pubens","American red elderberry","Domesticated Plant Fruit",NA
"Rubus strigosus","American red raspberry","Domesticated Plant Fruit",NA
"Carpobrotus glaucescens","Angular sea-fig","Domesticated Plant Fruit",NA
"Billardiera scandens","Apple berry","Domesticated Plant Fruit",NA
"Coffea arabica","Arabian coffee","Domesticated Plant Fruit",NA
"Eugenia stipitata","Araza","Domesticated Plant Fruit",NA
"Rubus probus","Atherton raspberry","Domesticated Plant Fruit",NA
"Berberis vulgaris","Barberry","Domesticated Plant Fruit",NA
"Arctostaphylos uva-ursi","Bearberry","Domesticated Plant Fruit",NA
"Carissa carandas","Bengal currant","Domesticated Plant Fruit",NA
"Vaccinium myrtillus","Bilberry","Domesticated Plant Fruit",NA
"Ribes nigrum","Black currant","Domesticated Plant Fruit",NA
"Morus nigra","Black mulberry","Domesticated Plant Fruit",NA
"Rubus allegheniensis","Blackberry","Domesticated Plant Fruit",NA
"Euclea crispa","Blue guarri","Domesticated Plant Fruit",NA
"Melastoma affine","Blue tongue","Domesticated Plant Fruit",NA
"Vaccinium corymbosum","Blueberry","Domesticated Plant Fruit",NA
"Eupomatia laurina","Bolwarra","Domesticated Plant Fruit",NA
"Boquila trifoliolata","Boquila","Domesticated Plant Fruit",NA
"Rubus ursinus × rubus idaeus","Boysenberry","Domesticated Plant Fruit",NA
"Eugenia brasiliensis","Brazil cherry","Domesticated Plant Fruit",NA
"Muntingia calabura","Calabur fruit","Domesticated Plant Fruit",NA
"Calligonum junceum","Calligonum junceum","Domesticated Plant Fruit",NA
"Myrciaria dubia","Camu camu","Domesticated Plant Fruit",NA
"Physalis peruviana","Cape gooseberry","Domesticated Plant Fruit",NA
"Psidium cattleyanum","Cattley guava","Domesticated Plant Fruit",NA
"Dovyalis hebecarpa","Ceylon gooseberry","Domesticated Plant Fruit",NA
"Ugni molinae","Chilean guava","Domesticated Plant Fruit",NA
"Rubus chamaemorus","Cloudberry","Domesticated Plant Fruit",NA
"Cassytha melantha","Coarse dodder-laurel fruit","Domesticated Plant Fruit",NA
"Gaultheria hispida","Copperleaf snowberry","Domesticated Plant Fruit",NA
"Carissa spinarum","Conkerberry","Domesticated Plant Fruit",NA
"Vaccinium macrocarpon","Cranberry","Domesticated Plant Fruit",NA
"Rubus hayata-koidzumii","Creeping raspberry","Domesticated Plant Fruit",NA
"Maclura tricuspidata","Cudrang","Domesticated Plant Fruit",NA
"Berberis darwinii","Darwin's barberry","Domesticated Plant Fruit",NA
"Diospyros lotus","Date-plum","Domesticated Plant Fruit",NA
"Rubus flagellaris","Dewberry","Domesticated Plant Fruit",NA
"Gaultheria procumbens","Eastern teaberry","Domesticated Plant Fruit",NA
"Sambucus nigra","Elderberry","Domesticated Plant Fruit",NA
"Grewia retusifolia","Emu berry","Domesticated Plant Fruit",NA
"Vitis labrusca","Fox grape","Domesticated Plant Fruit",NA
"Actinidia chinensis","Golden kiwifruit","Domesticated Plant Fruit","kiwi"
"Ribes uva-crispa","Gooseberry","Domesticated Plant Fruit",NA
"Vitis vinifera","Grape","Domesticated Plant Fruit","wine grape"
"Celtis occidentalis","Hackberry","Domesticated Plant Fruit",NA
"Actinidia arguta","Hardy kiwi","Domesticated Plant Fruit",NA
"Lonicera caerulea","Honeyberry","Domesticated Plant Fruit",NA
"Lonicera periclymenum","Honeysuckle","Domesticated Plant Fruit",NA
"Vaccinium ovatum","Huckleberry","Domesticated Plant Fruit",NA
"Plinia cauliflora","Jabuticaba","Domesticated Plant Fruit",NA
"Rubus parvifolius","Japanese bramble berry","Domesticated Plant Fruit",NA
"Dovyalis caffra","Kei apple","Domesticated Plant Fruit",NA
"Actinidia deliciosa","Kiwifruit","Domesticated Plant Fruit",NA
"Garcinia indica","Kokum","Domesticated Plant Fruit",NA
"Artocarpus hypargyreus","Kwai muk","Domesticated Plant Fruit",NA
"Lansium parasiticum","Langsat","Domesticated Plant Fruit",NA
"Acronychia acidula","Lemon aspen fruit","Domesticated Plant Fruit",NA
"Triphasia trifolia","Limeberry","Domesticated Plant Fruit",NA
"Vaccinium vitis-idaea","Lingonberry","Domesticated Plant Fruit",NA
"Rubus × loganobaccus","Loganberry","Domesticated Plant Fruit",NA
"Hancornia speciosa","Mangaba","Domesticated Plant Fruit",NA
"Aristotelia chilensis","Maqui berry","Domesticated Plant Fruit",NA
"Podophyllum peltatum","Mayapple","Domesticated Plant Fruit",NA
"Austromyrtus dulcis","Midgen berry","Domesticated Plant Fruit",NA
"Rubus moluccanus","Molucca bramble berry","Domesticated Plant Fruit",NA
"Rubus adenotrichos","Mora común","Domesticated Plant Fruit",NA
"Rubus glaucus","Mora de Castilla","Domesticated Plant Fruit",NA
"Vaccinium floribundum","Mortiño","Domesticated Plant Fruit",NA
"Kunzea pomifera","Muntrie","Domesticated Plant Fruit",NA
"Vitis rotundifolia","Muscadine","Domesticated Plant Fruit",NA
"Viburnum lentago","Nannyberry","Domesticated Plant Fruit",NA
"Exocarpos cupressiformis","Native cherry","Domesticated Plant Fruit",NA
"Acrotriche depressa","Native currant","Domesticated Plant Fruit",NA
"Mahonia aquifolium","Oregon grape","Domesticated Plant Fruit",NA
"Pentadiplandra brazzeana","Pentadiplandra brazzeana","Domesticated Plant Fruit",NA
"Grewia asiatica","Phalsa","Domesticated Plant Fruit",NA
"Eugenia luschnathiana","Pitomba-da-bahia","Domesticated Plant Fruit",NA
"Billardiera longiflora","Purple apple-berry","Domesticated Plant Fruit",NA
"Psidium rufum","Purple guava","Domesticated Plant Fruit",NA
"Rubus strigosus","Raspberry","Domesticated Plant Fruit",NA
"Ribes rubrum","Red currant","Domesticated Plant Fruit",NA
"Vaccinium parvifolium","Red huckleberry","Domesticated Plant Fruit",NA
"Morus rubra","Red mulberry","Domesticated Plant Fruit",NA
"Rubus rosifolius","Roseleaf bramble berry","Domesticated Plant Fruit",NA
"Flacourtia rukam","Rukam","Domesticated Plant Fruit",NA
"Gaultheria shallon","Salal","Domesticated Plant Fruit",NA
"Rubus spectabilis","Salmonberry","Domesticated Plant Fruit",NA
"Amelanchier alnifolia","Saskatoon","Domesticated Plant Fruit",NA
"Hippophae rhamnoides","Sea buckthorn","Domesticated Plant Fruit",NA
"Coccoloba uvifera","Sea grape","Domesticated Plant Fruit",NA
"Archirhodomyrtus beckleri","Small-leaved myrtle berry","Domesticated Plant Fruit",NA
"Diploglottis campbellii","Small-leaved tamarind","Domesticated Plant Fruit",NA
"Vangueria madagascariensis","Spanish tamarind","Domesticated Plant Fruit",NA
"Fragaria","Strawberry","Domesticated Plant Fruit",NA
"Arbutus unedo","Strawberry tree fruit","Domesticated Plant Fruit",NA
"Billardiera cymosa","Sweet apple-berry","Domesticated Plant Fruit",NA
"Solanum betaceum","Tamarillo","Domesticated Plant Fruit",NA
"Rubus fruticosus × rubus idaeus","Tayberry","Domesticated Plant Fruit",NA
"Diospyros texana","Texas persimmon","Domesticated Plant Fruit",NA
"Rubus parviflorus","Thimbleberry","Domesticated Plant Fruit",NA
"Clausena lansium","Wampee","Domesticated Plant Fruit",NA
"Acronychia oblongifolia","White aspen berry","Domesticated Plant Fruit",NA
"Rubus leucodermis","White bark raspberry","Domesticated Plant Fruit",NA
"Morus alba","White mulberry","Domesticated Plant Fruit",NA
"Capparis mitchellii","Wild orange","Domesticated Plant Fruit",NA
"Fragaria vesca","Wild strawberry","Domesticated Plant Fruit","woodland strawberry"
"Rubus phoenicolasius","Wineberry","Domesticated Plant Fruit",NA
"Lycium barbarum","Wolfberry","Domesticated Plant Fruit",NA
"Calamus manillensis","Yantok","Domesticated Plant Fruit",NA
"Spondias mombin","Yellow mombin","Domesticated Plant Fruit",NA
"Rubus caesius 'Youngberry'","Youngberry","Domesticated Plant Fruit",NA
"Melodorum leichhardtii","Zig-zag vine fruit","Domesticated Plant Fruit",NA
"Cucumis melo var. inodorus 'Bailan Melon'","Bailan melon","Domesticated Plant Fruit",NA
"Cucumis melo var. inodorus 'Canary Melon'","Canary melon","Domesticated Plant Fruit",NA
"Sicana odorifera","Cassabanana","Domesticated Plant Fruit",NA
"Cucumis melo 'Collective Farm Woman Melon'","Collective farm woman melon","Domesticated Plant Fruit",NA
"Cucumis melo 'Crane Melon'","Crane melon","Domesticated Plant Fruit",NA
"Cucumis melo 'Crenshaw Melon'","Crenshaw melon","Domesticated Plant Fruit",NA
"Cucumis melo var. cantalupensis","European cantaloupe","Domesticated Plant Fruit",NA
"Cucumis melo var. inodorus","Honeydew melon","Domesticated Plant Fruit",NA
"Cucumis metuliferus","Horned melon","Domesticated Plant Fruit",NA
"Cucumis melo var. makuwa","Korean melon","Domesticated Plant Fruit",NA
"Cucumis melo","Muskmelon","Domesticated Plant Fruit","cantaloupe"
"Cucumis melo var. reticulatus","North American cantaloupe","Domesticated Plant Fruit",NA
"Cucumis melo var. inodorus 'Santa Claus Melon'","Santa Claus melon","Domesticated Plant Fruit",NA
"Cucumis melo 'Sprite Melon'","Sprite melon","Domesticated Plant Fruit",NA
"Cucumis melo 'Tigger Melon'","Tigger melon","Domesticated Plant Fruit",NA
"Citrullus lanatus","Watermelon","Domesticated Plant Fruit",NA
"Pouteria caimito","Abiu","Domesticated Plant Fruit",NA
"Blighia sapida","Ackee","Domesticated Plant Fruit",NA
"Annona senegalensis","African custard-apple","Domesticated Plant Fruit",NA
"Parkia biglobosa","African locust bean","Domesticated Plant Fruit",NA
"Aglaia teysmanniana","Aglaia teysmanniana","Domesticated Plant Fruit",NA
"Diospyros virginiana","American persimmon","Domesticated Plant Fruit",NA
"Annona conica","Annona conica","Domesticated Plant Fruit",NA
"Garcinia atroviridis","Asam gelugur","Domesticated Plant Fruit",NA
"Eleiodoxa conferta","Asam kelubi","Domesticated Plant Fruit",NA
"Annona squamosa × annona cherimola","Atemoya","Domesticated Plant Fruit",NA
"Vasconcellea × heilbornii","Babaco","Domesticated Plant Fruit",NA
"Platonia insignis","Bacuri","Domesticated Plant Fruit",NA
"Aegle marmelos","Bael","Domesticated Plant Fruit",NA
"Musa acuminata 'Cavendish'","Banana","Domesticated Plant Fruit",NA
"Averrhoa bilimbi","Bilimbi","Domesticated Plant Fruit",NA
"Rollinia deliciosa","Biribá","Domesticated Plant Fruit",NA
"Pouteria australis","Black apple","Domesticated Plant Fruit",NA
"Diospyros nigra","Black sapote","Domesticated Plant Fruit",NA
"Psidium guineense","Brazilian guava","Domesticated Plant Fruit",NA
"Artocarpus altilis","Breadfruit","Domesticated Plant Fruit",NA
"Artocarpus camansi","Breadnut","Domesticated Plant Fruit",NA
"Stelechocarpus burahol","Burahol","Domesticated Plant Fruit",NA
"Pleiogynium timoriense","Burdekin plum","Domesticated Plant Fruit",NA
