Species,Common,Category
Apis mellifera,"c(""honey bee"", ""abeille domestique"")",Domesticated Animal Student
Bos indicus,"c(""Brahma cattle"", ""zebu cattle"")",Domesticated Animal Student
Bos taurus,"c(""aurochs"", ""domesticated cattle"", ""domestic cattle (feral)"", ""Aurochs"")",Domesticated Animal Student
Capra hircus,"c(""domestic goat"", ""goat (feral)"", ""Goat"")",Domesticated Animal Student
Melopsittacus undulatus,Budgerigar,Domesticated Animal Student
Rattus rattus,"c(""rat noir"", ""House Rat"", ""Black Rat"", ""Roof Rat"")",Domesticated Animal Student
Saccharomyces cerevisiae,Beer Yeast,Domesticated Fungus
Avena,Oats,Domesticated Plant Cereal
Chenopodum quinoa,Quinoa,Domesticated Plant Cereal
Digitaria,Fonio,Domesticated Plant Cereal
Echinocloa frumentacea,Millet,Domesticated Plant Cereal
Eleusine coracana,Japanese Millet,Domesticated Plant Cereal
Eragrostis abyssinica,Teff,Domesticated Plant Cereal
Fagopyrum,Buckwheat,Domesticated Plant Cereal
Hordeum,Barley,Domesticated Plant Cereal
Oryza sativa,Rice,Domesticated Plant Cereal
Panicum miliaceum,Golden Millet,Domesticated Plant Cereal
Paspalum scrobiculatum,Ditch Millet,Domesticated Plant Cereal
Pennisetum glaucum,Pearl Millet,Domesticated Plant Cereal
Phalaris canariensis,Canary Seed,Domesticated Plant Cereal
Secale cereale,Rye,Domesticated Plant Cereal
Setaria italica,Foxtail Millet,Domesticated Plant Cereal
Sorghum,Sorghum,Domesticated Plant Cereal
Triticum,Wheat,Domesticated Plant Cereal
Zea mays,Corn,Domesticated Plant Cereal
Acronychia acidula,Lemon aspen fruit,Domesticated Plant Fruit
Acronychia oblongifolia,White aspen berry,Domesticated Plant Fruit
Acrotriche depressa,Native currant,Domesticated Plant Fruit
Actinidia arguta,Hardy kiwi,Domesticated Plant Fruit
Actinidia chinensis,Golden kiwifruit,Domesticated Plant Fruit
Actinidia deliciosa,Kiwifruit,Domesticated Plant Fruit
Aegle marmelos,Bael,Domesticated Plant Fruit
Aglaia teysmanniana,Aglaia teysmanniana,Domesticated Plant Fruit
Amelanchier alnifolia,Serviceberry,Domesticated Plant Fruit
Amelanchier alnifolia,Saskatoon,Domesticated Plant Fruit
Anacardium occidentale,Cashew apple,Domesticated Plant Fruit
Ananas comosus,Pineapple,Domesticated Plant Fruit
Annona cherimola,Cherimoya,Domesticated Plant Fruit
Annona conica,Annona conica,Domesticated Plant Fruit
Annona crassiflora,Marolo,Domesticated Plant Fruit
Annona diversifolia,Ilama,Domesticated Plant Fruit
Annona glabra,Pond apple,Domesticated Plant Fruit
Annona montana,Mountain soursop,Domesticated Plant Fruit
Annona muricata,Soursop,Domesticated Plant Fruit
Annona purpurea,Soncoya,Domesticated Plant Fruit
Annona reticulata,Custard apple,Domesticated Plant Fruit
Annona scleroderma,Cawesh,Domesticated Plant Fruit
Annona senegalensis,African custard-apple,Domesticated Plant Fruit
Annona squamosa,Sugar-apple,Domesticated Plant Fruit
Annona squamosa × annona cherimola,Atemoya,Domesticated Plant Fruit
Antidesma bunius,Bignay,Domesticated Plant Fruit
Arbutus unedo,Strawberry tree fruit,Domesticated Plant Fruit
Archirhodomyrtus beckleri,Small-leaved myrtle berry,Domesticated Plant Fruit
Arctostaphylos uva-ursi,Bearberry,Domesticated Plant Fruit
Ardisia elliptica,Shoebutton ardisia,Domesticated Plant Fruit
Aristotelia chilensis,Maqui berry,Domesticated Plant Fruit
Aronia melanocarpa,Chokeberry,Domesticated Plant Fruit
Artocarpus altilis,Breadfruit,Domesticated Plant Fruit
Artocarpus camansi,Breadnut,Domesticated Plant Fruit
Artocarpus heterophyllus,Jackfruit,Domesticated Plant Fruit
Artocarpus hirsutus,Wild jack,Domesticated Plant Fruit
Artocarpus hypargyreus,Kwai muk,Domesticated Plant Fruit
Artocarpus integer,Cempedak,Domesticated Plant Fruit
Artocarpus lacucha,Monkey fruit,Domesticated Plant Fruit
Artocarpus odoratissimus,Terap,Domesticated Plant Fruit
Artocarpus rigidus,Monkey jackfruit,Domesticated Plant Fruit
Asimina triloba,Pawpaw,Domesticated Plant Fruit
Austromyrtus dulcis,Midgen berry,Domesticated Plant Fruit
Averrhoa bilimbi,Bilimbi,Domesticated Plant Fruit
Averrhoa carambola,Star fruit,Domesticated Plant Fruit
Azadirachta indica,Neem,Domesticated Plant Fruit
Baccaurea racemosa,Menteng,Domesticated Plant Fruit
Baccaurea ramiflora,Burmese grape,Domesticated Plant Fruit
Berberis darwinii,Darwin's barberry,Domesticated Plant Fruit
Berberis vulgaris,Barberry,Domesticated Plant Fruit
Billardiera cymosa,Sweet apple-berry,Domesticated Plant Fruit
Billardiera longiflora,Purple apple-berry,Domesticated Plant Fruit
Billardiera scandens,Apple berry,Domesticated Plant Fruit
Blighia sapida,Ackee,Domesticated Plant Fruit
Boquila trifoliolata,Boquila,Domesticated Plant Fruit
Borassus flabellifer,Doub palm fruit,Domesticated Plant Fruit
Bouea macrophylla,Maprang,Domesticated Plant Fruit
Buchanania arborescens,Little gooseberry,Domesticated Plant Fruit
Buchanania obovata,Green plum,Domesticated Plant Fruit
Bunchosia glandulifera,Peanut butter fruit,Domesticated Plant Fruit
Butia capitata,Jelly palm fruit,Domesticated Plant Fruit
Byrsonima crassifolia,Changunga,Domesticated Plant Fruit
Calamus manillensis,Yantok,Domesticated Plant Fruit
Calligonum junceum,Calligonum junceum,Domesticated Plant Fruit
Canarium ovatum,Pili,Domesticated Plant Fruit
Capparis mitchellii,Wild orange,Domesticated Plant Fruit
Carica papaya,Papaya,Domesticated Plant Fruit
Carissa carandas,Bengal currant,Domesticated Plant Fruit
Carissa spinarum,Conkerberry,Domesticated Plant Fruit
Carnegiea gigantea,Saguaro fruit,Domesticated Plant Fruit
Carpobrotus glaucescens,Angular sea-fig,Domesticated Plant Fruit
Carpobrotus rossii,Karkalla fruit,Domesticated Plant Fruit
Caryocar brasiliense,Pequi,Domesticated Plant Fruit
Casimiroa edulis,Casimiroa,Domesticated Plant Fruit
Cassytha melantha,Coarse dodder-laurel fruit,Domesticated Plant Fruit
Celtis occidentalis,Hackberry,Domesticated Plant Fruit
Cereus repandus,Peruvian apple cactus fruit,Domesticated Plant Fruit
Choerospondias axillaris,Nepali hog plum,Domesticated Plant Fruit
Chrysobalanus icaco,Cocoplum,Domesticated Plant Fruit
Chrysophyllum cainito,Cainito,Domesticated Plant Fruit
Citrofortunella microcarpa,Calamondin,Domesticated Plant Fruit
Citropsis articulata,African cherry orange,Domesticated Plant Fruit
Citrullus lanatus,Watermelon,Domesticated Plant Fruit
Citrus,Citrus,Domesticated Plant Fruit
Citrus × aurantiifolia,Key lime,Domesticated Plant Fruit
Citrus × aurantium,Bitter orange,Domesticated Plant Fruit
Citrus × clementina,Clementine,Domesticated Plant Fruit
Citrus × depressa,Taiwan tangerine,Domesticated Plant Fruit
Citrus × floridana,Limequat,Domesticated Plant Fruit
Citrus × iyo,Iyokan,Domesticated Plant Fruit
Citrus × latifolia,Lime,Domesticated Plant Fruit
Citrus × latifolia,Persian lime,Domesticated Plant Fruit
Citrus × limonia,Rangpur,Domesticated Plant Fruit
Citrus × limonimedica,Florentine citron,Domesticated Plant Fruit
Citrus × meyeri,Meyer lemon,Domesticated Plant Fruit
Citrus × natsudaidai,Amanatsu,Domesticated Plant Fruit
Citrus × paradisi,Grapefruit,Domesticated Plant Fruit
Citrus × pyriformis,Ponderosa lemon,Domesticated Plant Fruit
Citrus × sinensis,Orange,Domesticated Plant Fruit
Citrus × sinensis 'Blood Orange',Blood orange,Domesticated Plant Fruit
Citrus × tangelo,Tangelo,Domesticated Plant Fruit
Citrus australasica,Finger lime,Domesticated Plant Fruit
Citrus australasica var. sanguinea × 'Ellendale Mandarin',Blood lime,Domesticated Plant Fruit
Citrus australis,Round lime,Domesticated Plant Fruit
Citrus bergamia,Bergamot orange,Domesticated Plant Fruit
Citrus cavaleriei,Ichang papeda,Domesticated Plant Fruit
Citrus cavaleriei × citrus,Shangjuan,Domesticated Plant Fruit
Citrus flaviculpus,Ōgonkan,Domesticated Plant Fruit
Citrus flaviculpus × citrus unshiu,Shonan gold,Domesticated Plant Fruit
Citrus glauca,Desert lime,Domesticated Plant Fruit
Citrus grandis × citrus paradisi,Oroblanco,Domesticated Plant Fruit
Citrus hystrix,Kaffir lime,Domesticated Plant Fruit
Citrus japonica,Kumquat,Domesticated Plant Fruit
Citrus junos,Yuzu,Domesticated Plant Fruit
Citrus limetta,Sweet limetta,Domesticated Plant Fruit
Citrus limon,Lemon,Domesticated Plant Fruit
Citrus mangshanensis,Mangshanyegan,Domesticated Plant Fruit
Citrus margarita,Oval kumquat,Domesticated Plant Fruit
Citrus margarita 'Centennial Variegated Kumquat',Centennial variegated kumquat,Domesticated Plant Fruit
Citrus maxima,Pomelo,Domesticated Plant Fruit
Citrus medica,Citron,Domesticated Plant Fruit
Citrus medica ssp. bajoura,Bajoura citron,Domesticated Plant Fruit
Citrus medica var. ethrog,Etrog,Domesticated Plant Fruit
Citrus medica var. sarcodactylis,Buddha's hand,Domesticated Plant Fruit
Citrus myrtifolia,Myrtle-leaved orange,Domesticated Plant Fruit
Citrus nobilis × citrus × deliciosa,Kinnow,Domesticated Plant Fruit
Citrus obovata,Jiangsu kumquat,Domesticated Plant Fruit
Citrus reticulata,Mandarin orange,Domesticated Plant Fruit
Citrus reticulata × citrus paradisi,Ugli fruit,Domesticated Plant Fruit
Citrus reticulata × sinensis,Cam sành,Domesticated Plant Fruit
Citrus reticulata × sinensis,Tangor,Domesticated Plant Fruit
Citrus sphaerocarpa,Kabosu,Domesticated Plant Fruit
Citrus sudachi,Sudachi,Domesticated Plant Fruit
Citrus tamurana,Hyuganatsu,Domesticated Plant Fruit
Citrus tangerina,Tangerine,Domesticated Plant Fruit
Citrus unshiu,Satsuma mandarin,Domesticated Plant Fruit
Clausena lansium,Wampee,Domesticated Plant Fruit
Coccoloba diversifolia,Pigeon plum,Domesticated Plant Fruit
Coccoloba uvifera,Sea grape,Domesticated Plant Fruit
Cocos nucifera,Coconut,Domesticated Plant Fruit
Cocos nucifera var. aurantiaca,King coconut,Domesticated Plant Fruit
Coffea arabica,Arabian coffee,Domesticated Plant Fruit
Cola nitida,Kola nut,Domesticated Plant Fruit
Cornus × unalaschkensis,Alaskan bunchberry,Domesticated Plant Fruit
Cornus canadensis,Canadian bunchberry,Domesticated Plant Fruit
Cornus mas,Cornelian cherry,Domesticated Plant Fruit
Crataegus aestivalis,Eastern mayhaw,Domesticated Plant Fruit
Crataegus rhipidophylla,Hawthorn,Domesticated Plant Fruit
Crescentia cujete,Jícara,Domesticated Plant Fruit
Cucumis melo,Muskmelon,Domesticated Plant Fruit
Cucumis melo 'Collective Farm Woman Melon',Collective farm woman melon,Domesticated Plant Fruit
Cucumis melo 'Crane Melon',Crane melon,Domesticated Plant Fruit
Cucumis melo 'Crenshaw Melon',Crenshaw melon,Domesticated Plant Fruit
Cucumis melo 'Sprite Melon',Sprite melon,Domesticated Plant Fruit
Cucumis melo 'Tigger Melon',Tigger melon,Domesticated Plant Fruit
Cucumis melo var. cantalupensis,European cantaloupe,Domesticated Plant Fruit
Cucumis melo var. inodorus,Honeydew melon,Domesticated Plant Fruit
Cucumis melo var. inodorus 'Bailan Melon',Bailan melon,Domesticated Plant Fruit
Cucumis melo var. inodorus 'Canary Melon',Canary melon,Domesticated Plant Fruit
Cucumis melo var. inodorus 'Santa Claus Melon',Santa Claus melon,Domesticated Plant Fruit
Cucumis melo var. makuwa,Korean melon,Domesticated Plant Fruit
Cucumis melo var. reticulatus,North American cantaloupe,Domesticated Plant Fruit
Cucumis metuliferus,Horned melon,Domesticated Plant Fruit
Cydonia oblonga,Quince,Domesticated Plant Fruit
Dacrycarpus dacrydioides,Kahikatea,Domesticated Plant Fruit
Dacrydium cupressinum,Rimu,Domesticated Plant Fruit
Dacryodes edulis,Bush butter fruit,Domesticated Plant Fruit
Davidsonia jerseyana,Davidson's plum,Domesticated Plant Fruit
Davidsonia johnsonii,Smooth davidson's plum,Domesticated Plant Fruit
Davidsonia pruriens,Ooray,Domesticated Plant Fruit
Decaisnea insignis,Dead man's fingers,Domesticated Plant Fruit
Dialium cochinchinense,Velvet tamarind,Domesticated Plant Fruit
Dialium guineense,Velvet tamarind,Domesticated Plant Fruit
Dialium indum,Tamarind-plum,Domesticated Plant Fruit
Dillenia indica,Elephant apple,Domesticated Plant Fruit
Dimocarpus Longan,Longan,Domesticated Plant Fruit
Diospyros blancoi,Velvet apple,Domesticated Plant Fruit
Diospyros kaki,Persimmon,Domesticated Plant Fruit
Diospyros lotus,Date-plum,Domesticated Plant Fruit
Diospyros nigra,Black sapote,Domesticated Plant Fruit
Diospyros texana,Texas persimmon,Domesticated Plant Fruit
Diospyros virginiana,American persimmon,Domesticated Plant Fruit
Diploglottis campbellii,Small-leaved tamarind,Domesticated Plant Fruit
Dovyalis caffra,Kei apple,Domesticated Plant Fruit
Dovyalis hebecarpa,Ceylon gooseberry,Domesticated Plant Fruit
Duguetia confinis,Duguetia confinis,Domesticated Plant Fruit
Duguetia spixiana,Duguetia spixiana,Domesticated Plant Fruit
Durio zibethinus,Durian,Domesticated Plant Fruit
Elaeagnus multiflora,Cherry elaeagnus,Domesticated Plant Fruit
Elaeis guineensis,African oil palm fruit,Domesticated Plant Fruit
Elaeis oleifera,American oil palm fruit,Domesticated Plant Fruit
Eleiodoxa conferta,Asam kelubi,Domesticated Plant Fruit
Empetrum nigrum,Crowberry,Domesticated Plant Fruit
Eriobotrya japonica,Loquat,Domesticated Plant Fruit
Euclea crispa,Blue guarri,Domesticated Plant Fruit
Eugenia brasiliensis,Brazil cherry,Domesticated Plant Fruit
Eugenia involucrata,Cherry of the Rio Grande,Domesticated Plant Fruit
Eugenia luschnathiana,Pitomba-da-bahia,Domesticated Plant Fruit
Eugenia reinwardtiana,Cedar Bay cherry,Domesticated Plant Fruit
Eugenia stipitata,Araza,Domesticated Plant Fruit
Eugenia uniflora,Pitanga,Domesticated Plant Fruit
Eupomatia laurina,Bolwarra,Domesticated Plant Fruit
Euterpe oleracea,Açaí,Domesticated Plant Fruit
Exocarpos cupressiformis,Native cherry,Domesticated Plant Fruit
Feijoa sellowiana,Feijoa,Domesticated Plant Fruit
Ficus aurea,Strangler fig,Domesticated Plant Fruit
Ficus carica,Fig,Domesticated Plant Fruit
Ficus carrii,Ficus carrii,Domesticated Plant Fruit
Ficus coronata,Sandpaper fig,Domesticated Plant Fruit
Ficus platypoda,Desert fig,Domesticated Plant Fruit
Ficus racemosa,Cluster fig,Domesticated Plant Fruit
Ficus sycomorus,Sycamore fig,Domesticated Plant Fruit
Ficus virens,White fig,Domesticated Plant Fruit
Flacourtia indica,Ramontchi,Domesticated Plant Fruit
Flacourtia inermis,Lovi-lovi,Domesticated Plant Fruit
Flacourtia rukam,Rukam,Domesticated Plant Fruit
Garcinia atroviridis,Asam gelugur,Domesticated Plant Fruit
Garcinia dulcis,Mundu,Domesticated Plant Fruit
Garcinia forbesii,Garcinia forbesii,Domesticated Plant Fruit
Garcinia gummi-gutta,Garcinia cambogia,Domesticated Plant Fruit
Garcinia humilis,Achacha,Domesticated Plant Fruit
Garcinia indica,Kokum,Domesticated Plant Fruit
Garcinia livingstonei,African mangosteen,Domesticated Plant Fruit
Garcinia madruno,Charichuelo,Domesticated Plant Fruit
Garcinia mangostana,Purple mangosteen,Domesticated Plant Fruit
Garcinia morella,Gamboge,Domesticated Plant Fruit
Garcinia parvifolia,Kundong,Domesticated Plant Fruit
Garcinia prainiana,Button mangosteen,Domesticated Plant Fruit
Gaultheria hispida,Copperleaf snowberry,Domesticated Plant Fruit
Gaultheria procumbens,Eastern teaberry,Domesticated Plant Fruit
Gaultheria shallon,Salal,Domesticated Plant Fruit
Genipa americana,Jagua,Domesticated Plant Fruit
Glenniea philippinensis,Glenniea philippinensis,Domesticated Plant Fruit
Gomortega keule,Gomortega,Domesticated Plant Fruit
Grewia asiatica,Phalsa,Domesticated Plant Fruit
Grewia retusifolia,Emu berry,Domesticated Plant Fruit
Hancornia speciosa,Mangaba,Domesticated Plant Fruit
Heteromeles arbutifolia,Toyon,Domesticated Plant Fruit
Hippophae rhamnoides,Sea buckthorn,Domesticated Plant Fruit
Hovenia dulcis,Raisin tree fruit,Domesticated Plant Fruit
Hydnora abyssinica,Hydnora abyssinica,Domesticated Plant Fruit
Hylocereus undatus,Dragon fruit,Domesticated Plant Fruit
Hymenaea courbaril,Courbaril,Domesticated Plant Fruit
Inga edulis,Ice-cream bean,Domesticated Plant Fruit
Irvingia gabonensis,African mango,Domesticated Plant Fruit
Juniperus communis,Juniper berry,Domesticated Plant Fruit
Kunzea pomifera,Muntrie,Domesticated Plant Fruit
Lansium parasiticum,Langsat,Domesticated Plant Fruit
Lardizabala biternata,Lardizabala,Domesticated Plant Fruit
Limonia acidissima,Wood-apple,Domesticated Plant Fruit
Litchi chinensis,Lychee,Domesticated Plant Fruit
Litsea garciae,Engkala,Domesticated Plant Fruit
Lodoicea maldivica,Sea coconut,Domesticated Plant Fruit
Lonicera caerulea,Honeyberry,Domesticated Plant Fruit
Lonicera periclymenum,Honeysuckle,Domesticated Plant Fruit
Lycium barbarum,Wolfberry,Domesticated Plant Fruit
Maclura tricuspidata,Cudrang,Domesticated Plant Fruit
Mahonia aquifolium,Oregon grape,Domesticated Plant Fruit
Malpighia emarginata,Acerola,Domesticated Plant Fruit
Malus angustifolia,Southern crabapple,Domesticated Plant Fruit
Malus niedzwetzkyana,Niedzwetzky's apple,Domesticated Plant Fruit
Malus pumila,Apple,Domesticated Plant Fruit
Mammea americana,Mammee,Domesticated Plant Fruit
Mangifera caesia,Binjai,Domesticated Plant Fruit
Mangifera indica,Mango,Domesticated Plant Fruit
Mangifera pajang,Bambangan,Domesticated Plant Fruit
Manilkara kauki,Wongi,Domesticated Plant Fruit
Manilkara zapota,Sapodilla,Domesticated Plant Fruit
Manoao colensoi,Manoao,Domesticated Plant Fruit
Mauritia flexuosa,Moriche palm fruit,Domesticated Plant Fruit
Melastoma affine,Blue tongue,Domesticated Plant Fruit
Melicoccus bijugatus,Spanish lime,Domesticated Plant Fruit
Melodorum leichhardtii,Zig-zag vine fruit,Domesticated Plant Fruit
Mespilus germanica,Medlar,Domesticated Plant Fruit
Mimusops elengi,Spanish cherry,Domesticated Plant Fruit
Momordica cochinchinensis,Gấc,Domesticated Plant Fruit
Monstera deliciosa,Monstera deliciosa,Domesticated Plant Fruit
Morinda citrifolia,Noni,Domesticated Plant Fruit
Morus alba,White mulberry,Domesticated Plant Fruit
Morus nigra,Black mulberry,Domesticated Plant Fruit
Morus rubra,Red mulberry,Domesticated Plant Fruit
Muntingia calabura,Calabur fruit,Domesticated Plant Fruit
Murraya koenigii,Curry berry,Domesticated Plant Fruit
Musa acuminata,Banana,Domesticated Plant Fruit
Myrciaria dubia,Camu camu,Domesticated Plant Fruit
Myrciaria floribunda,Guavaberry,Domesticated Plant Fruit
Myrica rubra,Yangmei,Domesticated Plant Fruit
Myristica fragrans,Nutmeg,Domesticated Plant Fruit
Myrtillocactus geometrizans,Bilberry cactus fruit,Domesticated Plant Fruit
Nageia nagi,Nageia,Domesticated Plant Fruit
Nephelium hypoleucum,Korlan,Domesticated Plant Fruit
Nephelium lappaceum,Rambutan,Domesticated Plant Fruit
Nephelium mutabile,Pulasan,Domesticated Plant Fruit
Nephelium xerospermoides,Hairless rambutan,Domesticated Plant Fruit
Opuntia ficus-indica,Prickly pear fruit,Domesticated Plant Fruit
Owenia acidula,Emu apple,Domesticated Plant Fruit
Pachycereus pringlei,Cardón fruit,Domesticated Plant Fruit
Pandanus conoideus,Red fruit,Domesticated Plant Fruit
Pandanus tectorius,Hala fruit,Domesticated Plant Fruit
Pangium edule,Keluak,Domesticated Plant Fruit
Parajubaea torallyi,Bolivian mountain coconut,Domesticated Plant Fruit
Parkia biglobosa,African locust bean,Domesticated Plant Fruit
Passiflora edulis,Passionfruit,Domesticated Plant Fruit
Passiflora edulis f flavicarpa,Yellow granadilla,Domesticated Plant Fruit
Passiflora incarnata,Maypop,Domesticated Plant Fruit
Passiflora ligularis,Sweet granadilla,Domesticated Plant Fruit
Passiflora platyloba,Passiflora platyloba,Domesticated Plant Fruit
Passiflora quadrangularis,Giant granadilla,Domesticated Plant Fruit
Pentadiplandra brazzeana,Pentadiplandra brazzeana,Domesticated Plant Fruit
Phoenix dactylifera,Date,Domesticated Plant Fruit
Phyllanthus acidus,Otaheite gooseberry,Domesticated Plant Fruit
Phyllanthus emblica,Emblic,Domesticated Plant Fruit
Physalis peruviana,Cape gooseberry,Domesticated Plant Fruit
Pithecellobium dulce,Monkeypod,Domesticated Plant Fruit
Planchonia careya,Cocky apple,Domesticated Plant Fruit
Platonia insignis,Bacuri,Domesticated Plant Fruit
Pleiogynium timoriense,Burdekin plum,Domesticated Plant Fruit
Plinia cauliflora,Jabuticaba,Domesticated Plant Fruit
Podocarpus elatus,Plum pine fruit,Domesticated Plant Fruit
Podocarpus elongatus,Podocarpus,Domesticated Plant Fruit
Podocarpus totara,Totara,Domesticated Plant Fruit
Podophyllum peltatum,Mayapple,Domesticated Plant Fruit
Pourouma cecropiifolia,Amazon grape,Domesticated Plant Fruit
Pouteria australis,Black apple,Domesticated Plant Fruit
Pouteria caimito,Abiu,Domesticated Plant Fruit
Pouteria campechiana,Canistel,Domesticated Plant Fruit
Pouteria lucuma,Lúcuma,Domesticated Plant Fruit
Pouteria sapota,Mamey sapote,Domesticated Plant Fruit
Prumnopitys andina,Prumnopitys,Domesticated Plant Fruit
Prunus americana,American plum,Domesticated Plant Fruit
Prunus armeniaca,Apricot,Domesticated Plant Fruit
Prunus avium,Cherry,Domesticated Plant Fruit
Prunus domestica,Plum,Domesticated Plant Fruit
Prunus maritima,Beach plum,Domesticated Plant Fruit
Prunus persica,Peach,Domesticated Plant Fruit
Prunus persica var. nucipersica,Nectarine,Domesticated Plant Fruit
Prunus rivularis,Creek plum,Domesticated Plant Fruit
Prunus salicina spp.,Kelsey plum,Domesticated Plant Fruit
Prunus serotina,Black cherry,Domesticated Plant Fruit
Prunus spinosa,Sloe,Domesticated Plant Fruit
Prunus umbellata,Flatwoods plum,Domesticated Plant Fruit
Prunus virginiana,Choke cherry,Domesticated Plant Fruit
Pseudocydonia sinensis,Chinese quince,Domesticated Plant Fruit
Psidium cattleyanum,Cattley guava,Domesticated Plant Fruit
Psidium friedrichsthalianum,Costa Rican guava,Domesticated Plant Fruit
Psidium guajava,Guava,Domesticated Plant Fruit
Psidium guineense,Brazilian guava,Domesticated Plant Fruit
Psidium rufum,Purple guava,Domesticated Plant Fruit
Punica granatum,Pomegranate,Domesticated Plant Fruit
Pyracantha coccinea,Scarlet firethorn,Domesticated Plant Fruit
Pyrus communis,Pear,Domesticated Plant Fruit
Quararibea cordata,South American sapote,Domesticated Plant Fruit
Rheum × hybridum,Rhubarb,Domesticated Plant Fruit
Ribes nigrum,Black currant,Domesticated Plant Fruit
Ribes rubrum,Red currant,Domesticated Plant Fruit
Ribes uva-crispa,Gooseberry,Domesticated Plant Fruit
Rollinia deliciosa,Biribá,Domesticated Plant Fruit
Rosa rugosa,Rose hip,Domesticated Plant Fruit
Rubus × loganobaccus,Loganberry,Domesticated Plant Fruit
Rubus adenotrichos,Mora común,Domesticated Plant Fruit
Rubus allegheniensis,Blackberry,Domesticated Plant Fruit
Rubus caesius 'Youngberry',Youngberry,Domesticated Plant Fruit
Rubus chamaemorus,Cloudberry,Domesticated Plant Fruit
Rubus flagellaris,Dewberry,Domesticated Plant Fruit
Rubus fruticosus × rubus idaeus,Tayberry,Domesticated Plant Fruit
Rubus glaucus,Mora de Castilla,Domesticated Plant Fruit
Rubus hayata-koidzumii,Creeping raspberry,Domesticated Plant Fruit
Rubus leucodermis,White bark raspberry,Domesticated Plant Fruit
Rubus moluccanus,Molucca bramble berry,Domesticated Plant Fruit
Rubus parviflorus,Thimbleberry,Domesticated Plant Fruit
Rubus parvifolius,Japanese bramble berry,Domesticated Plant Fruit
Rubus phoenicolasius,Wineberry,Domesticated Plant Fruit
Rubus probus,Atherton raspberry,Domesticated Plant Fruit
