Species,Common,Category
Lodoicea maldivica,Sea coconut,Domesticated Plant Fruit
Ardisia elliptica,Shoebutton ardisia,Domesticated Plant Fruit
Shepherdia argentea,Silver buffaloberry,Domesticated Plant Fruit
Prunus spinosa,Sloe,Domesticated Plant Fruit
Mimusops elengi,Spanish cherry,Domesticated Plant Fruit
Melicoccus bijugatus,Spanish lime,Domesticated Plant Fruit
Dialium indum,Tamarind-plum,Domesticated Plant Fruit
Dialium cochinchinense,Velvet tamarind,Domesticated Plant Fruit
Dialium guineense,Velvet tamarind,Domesticated Plant Fruit
Syzygium aqueum,Watery rose apple,Domesticated Plant Fruit
Syzygium samarangense,Wax apple,Domesticated Plant Fruit
Terminalia carpentariae,Wild peach,Domesticated Plant Fruit
Manilkara kauki,Wongi,Domesticated Plant Fruit
Myrica rubra,Yangmei,Domesticated Plant Fruit
Ximenia americana,Yellow plum,Domesticated Plant Fruit
Prunus domestica subsp. domestica,Zwetschge,Domesticated Plant Fruit
Citropsis articulata,African cherry orange,Domesticated Plant Fruit
Citrus × natsudaidai,Amanatsu,Domesticated Plant Fruit
Citrus medica ssp. bajoura,Bajoura citron,Domesticated Plant Fruit
Citrus bergamia,Bergamot orange,Domesticated Plant Fruit
Citrus × aurantium,Bitter orange,Domesticated Plant Fruit
Citrus australasica var. sanguinea × 'Ellendale Mandarin',Blood lime,Domesticated Plant Fruit
Citrus × sinensis 'Blood Orange',Blood orange,Domesticated Plant Fruit
Citrus medica var. sarcodactylis,Buddha's hand,Domesticated Plant Fruit
× Citrofortunella microcarpa,Calamondin,Domesticated Plant Fruit
Citrus reticulata × sinensis,Cam sành,Domesticated Plant Fruit
Citrus margarita 'Centennial Variegated Kumquat',Centennial variegated kumquat,Domesticated Plant Fruit
Citrus medica,Citron,Domesticated Plant Fruit
Citrus × clementina,Clementine,Domesticated Plant Fruit
Citrus glauca,Desert lime,Domesticated Plant Fruit
Citrus medica var. ethrog,Etrog,Domesticated Plant Fruit
Citrus australasica,Finger lime,Domesticated Plant Fruit
Citrus × limonimedica,Florentine citron,Domesticated Plant Fruit
Citrus × paradisi,Grapefruit,Domesticated Plant Fruit
Citrus tamurana,Hyuganatsu,Domesticated Plant Fruit
Citrus cavaleriei,Ichang papeda,Domesticated Plant Fruit
Citrus × iyo,Iyokan,Domesticated Plant Fruit
Citrus obovata,Jiangsu kumquat,Domesticated Plant Fruit
Citrus sphaerocarpa,Kabosu,Domesticated Plant Fruit
Citrus hystrix,Kaffir lime,Domesticated Plant Fruit
Citrus × aurantiifolia,Key lime,Domesticated Plant Fruit
Citrus nobilis × citrus × deliciosa,Kinnow,Domesticated Plant Fruit
Citrus unshiu × citrus sinensis,Kiyomi,Domesticated Plant Fruit
Citrus japonica,Kumquat,Domesticated Plant Fruit
Citrus limon,Lemon,Domesticated Plant Fruit
Citrus × latifolia,Lime,Domesticated Plant Fruit
Citrus × floridana,Limequat,Domesticated Plant Fruit
Citrus reticulata,Mandarin orange,Domesticated Plant Fruit
Citrus mangshanensis,Mangshanyegan,Domesticated Plant Fruit
Citrus × meyeri,Meyer lemon,Domesticated Plant Fruit
Citrus myrtifolia,Myrtle-leaved orange,Domesticated Plant Fruit
Citrus flaviculpus,Ōgonkan,Domesticated Plant Fruit
Citrus × sinensis,Orange,Domesticated Plant Fruit
Citrus grandis × citrus paradisi,Oroblanco,Domesticated Plant Fruit
Citrus margarita,Oval kumquat,Domesticated Plant Fruit
Citrus × latifolia,Persian lime,Domesticated Plant Fruit
Citrus maxima,Pomelo,Domesticated Plant Fruit
Citrus × pyriformis,Ponderosa lemon,Domesticated Plant Fruit
Citrus × limonia,Rangpur,Domesticated Plant Fruit
Citrus australis,Round lime,Domesticated Plant Fruit
Citrus unshiu,Satsuma mandarin,Domesticated Plant Fruit
Citrus cavaleriei × citrus,Shangjuan,Domesticated Plant Fruit
Citrus flaviculpus × citrus unshiu,Shonan gold,Domesticated Plant Fruit
Citrus sudachi,Sudachi,Domesticated Plant Fruit
Citrus limetta,Sweet limetta,Domesticated Plant Fruit
Citrus × depressa,Taiwan tangerine,Domesticated Plant Fruit
Citrus × tangelo,Tangelo,Domesticated Plant Fruit
Citrus tangerina,Tangerine,Domesticated Plant Fruit
Citrus reticulata × sinensis,Tangor,Domesticated Plant Fruit
Citrus reticulata × citrus paradisi,Ugli fruit,Domesticated Plant Fruit
Citrus junos,Yuzu,Domesticated Plant Fruit
Garcinia humilis,Achacha,Domesticated Plant Fruit
Pourouma cecropiifolia,Amazon grape,Domesticated Plant Fruit
Sambucus canadensis,American black elderberry,Domesticated Plant Fruit
Sambucus pubens,American red elderberry,Domesticated Plant Fruit
Rubus strigosus,American red raspberry,Domesticated Plant Fruit
Carpobrotus glaucescens,Angular sea-fig,Domesticated Plant Fruit
Billardiera scandens,Apple berry,Domesticated Plant Fruit
Coffea arabica,Arabian coffee,Domesticated Plant Fruit
Eugenia stipitata,Araza,Domesticated Plant Fruit
Rubus probus,Atherton raspberry,Domesticated Plant Fruit
Berberis vulgaris,Barberry,Domesticated Plant Fruit
Arctostaphylos uva-ursi,Bearberry,Domesticated Plant Fruit
Carissa carandas,Bengal currant,Domesticated Plant Fruit
Vaccinium myrtillus,Bilberry,Domesticated Plant Fruit
Ribes nigrum,Black currant,Domesticated Plant Fruit
Morus nigra,Black mulberry,Domesticated Plant Fruit
Rubus allegheniensis,Blackberry,Domesticated Plant Fruit
Euclea crispa,Blue guarri,Domesticated Plant Fruit
Melastoma affine,Blue tongue,Domesticated Plant Fruit
Vaccinium corymbosum,Blueberry,Domesticated Plant Fruit
Eupomatia laurina,Bolwarra,Domesticated Plant Fruit
Boquila trifoliolata,Boquila,Domesticated Plant Fruit
Rubus ursinus × rubus idaeus,Boysenberry,Domesticated Plant Fruit
Eugenia brasiliensis,Brazil cherry,Domesticated Plant Fruit
Muntingia calabura,Calabur fruit,Domesticated Plant Fruit
Calligonum junceum,Calligonum junceum,Domesticated Plant Fruit
Myrciaria dubia,Camu camu,Domesticated Plant Fruit
Physalis peruviana,Cape gooseberry,Domesticated Plant Fruit
Psidium cattleyanum,Cattley guava,Domesticated Plant Fruit
Dovyalis hebecarpa,Ceylon gooseberry,Domesticated Plant Fruit
Ugni molinae,Chilean guava,Domesticated Plant Fruit
Rubus chamaemorus,Cloudberry,Domesticated Plant Fruit
Cassytha melantha,Coarse dodder-laurel fruit,Domesticated Plant Fruit
Gaultheria hispida,Copperleaf snowberry,Domesticated Plant Fruit
Carissa spinarum,Conkerberry,Domesticated Plant Fruit
Vaccinium macrocarpon,Cranberry,Domesticated Plant Fruit
Rubus hayata-koidzumii,Creeping raspberry,Domesticated Plant Fruit
Maclura tricuspidata,Cudrang,Domesticated Plant Fruit
Berberis darwinii,Darwin's barberry,Domesticated Plant Fruit
Diospyros lotus,Date-plum,Domesticated Plant Fruit
Rubus flagellaris,Dewberry,Domesticated Plant Fruit
Gaultheria procumbens,Eastern teaberry,Domesticated Plant Fruit
Sambucus nigra,Elderberry,Domesticated Plant Fruit
Grewia retusifolia,Emu berry,Domesticated Plant Fruit
Vitis labrusca,Fox grape,Domesticated Plant Fruit
Actinidia chinensis,Golden kiwifruit,Domesticated Plant Fruit
Ribes uva-crispa,Gooseberry,Domesticated Plant Fruit
Vitis vinifera,Grape,Domesticated Plant Fruit
Celtis occidentalis,Hackberry,Domesticated Plant Fruit
Actinidia arguta,Hardy kiwi,Domesticated Plant Fruit
Lonicera caerulea,Honeyberry,Domesticated Plant Fruit
Lonicera periclymenum,Honeysuckle,Domesticated Plant Fruit
Vaccinium ovatum,Huckleberry,Domesticated Plant Fruit
Plinia cauliflora,Jabuticaba,Domesticated Plant Fruit
Rubus parvifolius,Japanese bramble berry,Domesticated Plant Fruit
Dovyalis caffra,Kei apple,Domesticated Plant Fruit
Actinidia deliciosa,Kiwifruit,Domesticated Plant Fruit
Garcinia indica,Kokum,Domesticated Plant Fruit
Artocarpus hypargyreus,Kwai muk,Domesticated Plant Fruit
Lansium parasiticum,Langsat,Domesticated Plant Fruit
Acronychia acidula,Lemon aspen fruit,Domesticated Plant Fruit
Triphasia trifolia,Limeberry,Domesticated Plant Fruit
Vaccinium vitis-idaea,Lingonberry,Domesticated Plant Fruit
Rubus × loganobaccus,Loganberry,Domesticated Plant Fruit
Hancornia speciosa,Mangaba,Domesticated Plant Fruit
Aristotelia chilensis,Maqui berry,Domesticated Plant Fruit
Podophyllum peltatum,Mayapple,Domesticated Plant Fruit
Austromyrtus dulcis,Midgen berry,Domesticated Plant Fruit
Rubus moluccanus,Molucca bramble berry,Domesticated Plant Fruit
Rubus adenotrichos,Mora común,Domesticated Plant Fruit
Rubus glaucus,Mora de Castilla,Domesticated Plant Fruit
Vaccinium floribundum,Mortiño,Domesticated Plant Fruit
Kunzea pomifera,Muntrie,Domesticated Plant Fruit
Vitis rotundifolia,Muscadine,Domesticated Plant Fruit
Viburnum lentago,Nannyberry,Domesticated Plant Fruit
Exocarpos cupressiformis,Native cherry,Domesticated Plant Fruit
Acrotriche depressa,Native currant,Domesticated Plant Fruit
Mahonia aquifolium,Oregon grape,Domesticated Plant Fruit
Pentadiplandra brazzeana,Pentadiplandra brazzeana,Domesticated Plant Fruit
Grewia asiatica,Phalsa,Domesticated Plant Fruit
Eugenia luschnathiana,Pitomba-da-bahia,Domesticated Plant Fruit
Billardiera longiflora,Purple apple-berry,Domesticated Plant Fruit
Psidium rufum,Purple guava,Domesticated Plant Fruit
Rubus strigosus,Raspberry,Domesticated Plant Fruit
Ribes rubrum,Red currant,Domesticated Plant Fruit
Vaccinium parvifolium,Red huckleberry,Domesticated Plant Fruit
Morus rubra,Red mulberry,Domesticated Plant Fruit
Rubus rosifolius,Roseleaf bramble berry,Domesticated Plant Fruit
Flacourtia rukam,Rukam,Domesticated Plant Fruit
Gaultheria shallon,Salal,Domesticated Plant Fruit
Rubus spectabilis,Salmonberry,Domesticated Plant Fruit
Amelanchier alnifolia,Saskatoon,Domesticated Plant Fruit
Hippophae rhamnoides,Sea buckthorn,Domesticated Plant Fruit
Coccoloba uvifera,Sea grape,Domesticated Plant Fruit
Archirhodomyrtus beckleri,Small-leaved myrtle berry,Domesticated Plant Fruit
Diploglottis campbellii,Small-leaved tamarind,Domesticated Plant Fruit
Vangueria madagascariensis,Spanish tamarind,Domesticated Plant Fruit
Fragaria,Strawberry,Domesticated Plant Fruit
Arbutus unedo,Strawberry tree fruit,Domesticated Plant Fruit
Billardiera cymosa,Sweet apple-berry,Domesticated Plant Fruit
Solanum betaceum,Tamarillo,Domesticated Plant Fruit
Rubus fruticosus × rubus idaeus,Tayberry,Domesticated Plant Fruit
Diospyros texana,Texas persimmon,Domesticated Plant Fruit
Rubus parviflorus,Thimbleberry,Domesticated Plant Fruit
Clausena lansium,Wampee,Domesticated Plant Fruit
Acronychia oblongifolia,White aspen berry,Domesticated Plant Fruit
Rubus leucodermis,White bark raspberry,Domesticated Plant Fruit
Morus alba,White mulberry,Domesticated Plant Fruit
Capparis mitchellii,Wild orange,Domesticated Plant Fruit
Fragaria vesca,Wild strawberry,Domesticated Plant Fruit
Rubus phoenicolasius,Wineberry,Domesticated Plant Fruit
Lycium barbarum,Wolfberry,Domesticated Plant Fruit
Calamus manillensis,Yantok,Domesticated Plant Fruit
Spondias mombin,Yellow mombin,Domesticated Plant Fruit
Rubus caesius 'Youngberry',Youngberry,Domesticated Plant Fruit
Melodorum leichhardtii,Zig-zag vine fruit,Domesticated Plant Fruit
Cucumis melo var. inodorus 'Bailan Melon',Bailan melon,Domesticated Plant Fruit
Cucumis melo var. inodorus 'Canary Melon',Canary melon,Domesticated Plant Fruit
Sicana odorifera,Cassabanana,Domesticated Plant Fruit
Cucumis melo 'Collective Farm Woman Melon',Collective farm woman melon,Domesticated Plant Fruit
Cucumis melo 'Crane Melon',Crane melon,Domesticated Plant Fruit
Cucumis melo 'Crenshaw Melon',Crenshaw melon,Domesticated Plant Fruit
Cucumis melo var. cantalupensis,European cantaloupe,Domesticated Plant Fruit
Cucumis melo var. inodorus,Honeydew melon,Domesticated Plant Fruit
Cucumis metuliferus,Horned melon,Domesticated Plant Fruit
Cucumis melo var. makuwa,Korean melon,Domesticated Plant Fruit
Cucumis melo,Muskmelon,Domesticated Plant Fruit
Cucumis melo var. reticulatus,North American cantaloupe,Domesticated Plant Fruit
Cucumis melo var. inodorus 'Santa Claus Melon',Santa Claus melon,Domesticated Plant Fruit
Cucumis melo 'Sprite Melon',Sprite melon,Domesticated Plant Fruit
Cucumis melo 'Tigger Melon',Tigger melon,Domesticated Plant Fruit
Citrullus lanatus,Watermelon,Domesticated Plant Fruit
Pouteria caimito,Abiu,Domesticated Plant Fruit
Blighia sapida,Ackee,Domesticated Plant Fruit
Annona senegalensis,African custard-apple,Domesticated Plant Fruit
Parkia biglobosa,African locust bean,Domesticated Plant Fruit
Aglaia teysmanniana,Aglaia teysmanniana,Domesticated Plant Fruit
Diospyros virginiana,American persimmon,Domesticated Plant Fruit
Annona conica,Annona conica,Domesticated Plant Fruit
Garcinia atroviridis,Asam gelugur,Domesticated Plant Fruit
Eleiodoxa conferta,Asam kelubi,Domesticated Plant Fruit
Annona squamosa × annona cherimola,Atemoya,Domesticated Plant Fruit
Vasconcellea × heilbornii,Babaco,Domesticated Plant Fruit
Platonia insignis,Bacuri,Domesticated Plant Fruit
Aegle marmelos,Bael,Domesticated Plant Fruit
Musa acuminata 'Cavendish',Banana,Domesticated Plant Fruit
Averrhoa bilimbi,Bilimbi,Domesticated Plant Fruit
Rollinia deliciosa,Biribá,Domesticated Plant Fruit
Pouteria australis,Black apple,Domesticated Plant Fruit
Diospyros nigra,Black sapote,Domesticated Plant Fruit
Psidium guineense,Brazilian guava,Domesticated Plant Fruit
Artocarpus altilis,Breadfruit,Domesticated Plant Fruit
Artocarpus camansi,Breadnut,Domesticated Plant Fruit
Stelechocarpus burahol,Burahol,Domesticated Plant Fruit
Pleiogynium timoriense,Burdekin plum,Domesticated Plant Fruit
Baccaurea ramiflora,Burmese grape,Domesticated Plant Fruit
Garcinia prainiana,Button mangosteen,Domesticated Plant Fruit
Theobroma cacao,Cacao,Domesticated Plant Fruit
Chrysophyllum cainito,Cainito,Domesticated Plant Fruit
Pouteria campechiana,Canistel,Domesticated Plant Fruit
Anacardium occidentale,Cashew apple,Domesticated Plant Fruit
Annona scleroderma,Cawesh,Domesticated Plant Fruit
Artocarpus integer,Cempedak,Domesticated Plant Fruit
Garcinia madruno,Charichuelo,Domesticated Plant Fruit
Annona cherimola,Cherimoya,Domesticated Plant Fruit
Ficus racemosa,Cluster fig,Domesticated Plant Fruit
Psidium friedrichsthalianum,Costa Rican guava,Domesticated Plant Fruit
Hymenaea courbaril,Courbaril,Domesticated Plant Fruit
Theobroma grandiflorum,Cupuaçu,Domesticated Plant Fruit
Annona reticulata,Custard apple,Domesticated Plant Fruit
Davidsonia jerseyana,Davidson's plum,Domesticated Plant Fruit
Decaisnea insignis,Dead man's fingers,Domesticated Plant Fruit
Ficus platypoda,Desert fig,Domesticated Plant Fruit
Borassus flabellifer,Doub palm fruit,Domesticated Plant Fruit
Duguetia confinis,Duguetia confinis,Domesticated Plant Fruit
Duguetia spixiana,Duguetia spixiana,Domesticated Plant Fruit
Durio zibethinus,Durian,Domesticated Plant Fruit
Dillenia indica,Elephant apple,Domesticated Plant Fruit
Feijoa sellowiana,Feijoa,Domesticated Plant Fruit
Ficus carrii,Ficus carrii,Domesticated Plant Fruit
Ficus carica,Fig,Domesticated Plant Fruit
Momordica cochinchinensis,Gấc,Domesticated Plant Fruit
Garcinia morella,Gamboge,Domesticated Plant Fruit
Garcinia gummi-gutta,Garcinia cambogia,Domesticated Plant Fruit
Garcinia forbesii,Garcinia forbesii,Domesticated Plant Fruit
Passiflora quadrangularis,Giant granadilla,Domesticated Plant Fruit
Glenniea philippinensis,Glenniea philippinensis,Domesticated Plant Fruit
Psidium guajava,Guava,Domesticated Plant Fruit
Pandanus tectorius,Hala fruit,Domesticated Plant Fruit
Hydnora abyssinica,Hydnora abyssinica,Domesticated Plant Fruit
Inga edulis,Ice-cream bean,Domesticated Plant Fruit
Annona diversifolia,Ilama,Domesticated Plant Fruit
Artocarpus heterophyllus,Jackfruit,Domesticated Plant Fruit
Crescentia cujete,Jícara,Domesticated Plant Fruit
Cola nitida,Kola nut,Domesticated Plant Fruit
Pangium edule,Keluak,Domesticated Plant Fruit
Garcinia parvifolia,Kundong,Domesticated Plant Fruit
Lardizabala biternata,Lardizabala,Domesticated Plant Fruit
Pouteria lucuma,Lúcuma,Domesticated Plant Fruit
Siraitia grosvenorii,Luóhàn guǒ,Domesticated Plant Fruit
Syzygium jambos,Malabar plum,Domesticated Plant Fruit
Mammea americana,Mammee,Domesticated Plant Fruit
Annona crassiflora,Marolo,Domesticated Plant Fruit
Passiflora incarnata,Maypop,Domesticated Plant Fruit
Baccaurea racemosa,Menteng,Domesticated Plant Fruit
Artocarpus lacucha,Monkey fruit,Domesticated Plant Fruit
Artocarpus rigidus,Monkey jackfruit,Domesticated Plant Fruit
Pithecellobium dulce,Monkeypod,Domesticated Plant Fruit
Monstera deliciosa,Monstera deliciosa,Domesticated Plant Fruit
Annona montana,Mountain soursop,Domesticated Plant Fruit
Garcinia dulcis,Mundu,Domesticated Plant Fruit
Solanum quitoense,Naranjilla,Domesticated Plant Fruit
Strychnos spinosa,Natal orange,Domesticated Plant Fruit
Morinda citrifolia,Noni,Domesticated Plant Fruit
Davidsonia pruriens,Ooray,Domesticated Plant Fruit
Carica papaya,Papaya,Domesticated Plant Fruit
Passiflora platyloba,Passiflora platyloba,Domesticated Plant Fruit
Passiflora edulis,Passionfruit,Domesticated Plant Fruit
Asimina triloba,Pawpaw,Domesticated Plant Fruit
Solanum muricatum,Pepino,Domesticated Plant Fruit
Diospyros kaki,Persimmon,Domesticated Plant Fruit
Ananas comosus,Pineapple,Domesticated Plant Fruit
Punica granatum,Pomegranate,Domesticated Plant Fruit
Annona glabra,Pond apple,Domesticated Plant Fruit
Garcinia mangostana,Purple mangosteen,Domesticated Plant Fruit
Pandanus conoideus,Red fruit,Domesticated Plant Fruit
Salacca zalacca,Salak,Domesticated Plant Fruit
Ficus coronata,Sandpaper fig,Domesticated Plant Fruit
Sandoricum koetjape,Santol,Domesticated Plant Fruit
Davidsonia johnsonii,Smooth davidson's plum,Domesticated Plant Fruit
Annona purpurea,Soncoya,Domesticated Plant Fruit
Annona muricata,Soursop,Domesticated Plant Fruit
Quararibea cordata,South American sapote,Domesticated Plant Fruit
Averrhoa carambola,Star fruit,Domesticated Plant Fruit
Ficus aurea,Strangler fig,Domesticated Plant Fruit
Annona squamosa,Sugar-apple,Domesticated Plant Fruit
Passiflora ligularis,Sweet granadilla,Domesticated Plant Fruit
Ficus sycomorus,Sycamore fig,Domesticated Plant Fruit
Tamarindus indica,Tamarind,Domesticated Plant Fruit
Artocarpus odoratissimus,Terap,Domesticated Plant Fruit
Trichosanthes beccariana,Trichosanthes beccariana,Domesticated Plant Fruit
Vanilla planifolia,Vanilla,Domesticated Plant Fruit
Diospyros blancoi,Velvet apple,Domesticated Plant Fruit
Ficus virens,White fig,Domesticated Plant Fruit
Artocarpus hirsutus,Wild jack,Domesticated Plant Fruit
Limonia acidissima,Wood-apple,Domesticated Plant Fruit
Passiflora edulis f flavicarpa,Yellow granadilla,Domesticated Plant Fruit
Myrtillocactus geometrizans,Bilberry cactus fruit,Domesticated Plant Fruit
Pachycereus pringlei,Cardón fruit,Domesticated Plant Fruit
Hylocereus undatus,Dragon fruit,Domesticated Plant Fruit
Carpobrotus rossii,Karkalla fruit,Domesticated Plant Fruit
Cereus repandus,Peruvian apple cactus fruit,Domesticated Plant Fruit
Opuntia ficus-indica,Prickly pear fruit,Domesticated Plant Fruit
Carnegiea gigantea,Saguaro fruit,Domesticated Plant Fruit
Juniperus communis,Juniper berry,Domesticated Plant Fruit
Dacrycarpus dacrydioides,Kahikatea,Domesticated Plant Fruit
Manoao colensoi,Manoao,Domesticated Plant Fruit
Nageia nagi,Nageia,Domesticated Plant Fruit
Podocarpus elatus,Plum pine fruit,Domesticated Plant Fruit
Podocarpus elongatus,Podocarpus,Domesticated Plant Fruit
Prumnopitys andina,Prumnopitys,Domesticated Plant Fruit
Hovenia dulcis,Raisin tree fruit,Domesticated Plant Fruit
Rheum × hybridum,Rhubarb,Domesticated Plant Fruit
Dacrydium cupressinum,Rimu,Domesticated Plant Fruit
Podocarpus totara,Totara,Domesticated Plant Fruit
