Relevant	hasMIDdatathonpublication	Authors_Contacted	Author_Contact_Comments	hasMIDdatathonderivedGeneticDataX	hasMIDdatathonpreservative	hasMIDdatathonpermitInformation	hasMIDdatathonyearCollected	hasMIDdatathonenvironmentalMedium	hasMIDdatathonhabitat	hasMIDdatathoncountry	hasMIDdatathoncoordinates	hasMIDdatathonlocality	hasMIDdatathonmaterialSampleID	Author_Response_Comments	hasPOSTdatathonderivedGeneticDataX	hasPOSTdatathonpreservative	hasPOSTdatathonpermitInformation	hasPOSTdatathonyearCollected	hasPOSTdatathonenvironmentalMedium	hasPOSTdatathonhabitat	hasPOSTdatathoncountry	hasPOSTdatathoncoordinates	hasPOSTdatathonlocality	hasPOSTdatathonmaterialSampleID	Metadata_Curator	Quality_Controller	datagroup	hasPOSTdatathonpublication	hasPREdatathonderivedGeneticDataX	hasPREdatathonpermitInformation	hasPREdatathonpreservative	hasPREdatathonyearCollected	hasPREdatathoncoordinates	hasPREdatathonmaterialSampleID	hasPREdatathonenvironmentalMedium	hasPREdatathonhabitat	hasPREdatathoncountry	hasPREdatathonlocality	hasPREdatathonpublication	registration_date_bioprj	author_response
TRUE	TRUE	TRUE	"materialSampleID = ""true"" | locality = ""true"" | coordinates = ""true"" | country = ""true"" | habitat = ""true"" | environmentalMedium = ""true"" | yearCollected ""false"" | permitInformation = ""false"" | preservative = ""false | derivedGeneticDataX =""false"" |"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"materialSampleID = ""true"" | locality = ""true"" | coordinates = ""true"" | country = ""true"" | habitat = ""true"" | environmentalMedium = ""true"" | yearCollected ""false"" | permitInformation = ""false"" | preservative = ""false | derivedGeneticDataX =""false"" |"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Alonso Delgado	Andrea	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	11/9/12	TRUE
TRUE	TRUE	TRUE	"materialSampleID = ""true"" | locality = ""true"" | coordinates = ""true"" | country = ""true"" | habitat = ""true"" | environmentalMedium = ""true"" | yearCollected ""false"" | permitInformation = ""false"" | preservative = ""false | derivedGeneticDataX =""false"" |"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"materialSampleID = ""true"" | locality = ""true"" | coordinates = ""true"" | country = ""true"" | habitat = ""true"" | environmentalMedium = ""true"" | yearCollected ""false"" | permitInformation = ""false"" | preservative = ""false | derivedGeneticDataX =""false"" |"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Alonso Delgado	Andrea	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	11/9/12	TRUE
TRUE	TRUE	TRUE	"materialSampleID = ""true"" | locality = ""true"" | coordinates = ""true"" | country = ""true"" | habitat = ""true"" | environmentalMedium = ""true"" | yearCollected ""false"" | permitInformation = ""false"" | preservative = ""false | derivedGeneticDataX =""false"" |"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"materialSampleID = ""true"" | locality = ""true"" | coordinates = ""true"" | country = ""true"" | habitat = ""true"" | environmentalMedium = ""true"" | yearCollected ""false"" | permitInformation = ""false"" | preservative = ""false | derivedGeneticDataX =""false"" |"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Alonso Delgado	Andrea	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	11/9/12	TRUE
TRUE	TRUE	TRUE	"materialSampleID = ""true"" | locality = ""true"" | coordinates = ""true"" | country = ""true"" | habitat = ""true"" | environmentalMedium = ""true"" | yearCollected ""false"" | permitInformation = ""false"" | preservative = ""false | derivedGeneticDataX =""false"" |"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"materialSampleID = ""true"" | locality = ""true"" | coordinates = ""true"" | country = ""true"" | habitat = ""true"" | environmentalMedium = ""true"" | yearCollected ""false"" | permitInformation = ""false"" | preservative = ""false | derivedGeneticDataX =""false"" |"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Alonso Delgado	Andrea	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	11/9/12	TRUE
TRUE	TRUE	FALSE	materialSampleID = TRUE| locality = TRUE| coordinates = TRUE| country = TRUE| habitat = TRUE|environmentalMedium = TRUE| yearCollected = TRUE|permitInformation = FALSE|preservative = FALSE|derivedGeneticDataX= FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	materialSampleID = TRUE| locality = TRUE| coordinates = TRUE| country = TRUE| habitat = TRUE|environmentalMedium = TRUE| yearCollected = TRUE|permitInformation = FALSE|preservative = FALSE|derivedGeneticDataX= FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Randi Barton	Briana	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	11/26/12	NA
TRUE	TRUE	TRUE	"materialSampleID= ""FALSE"" | locality= ""FALSE"" | coordinates= ""FALSE"" | country= ""TRUE"" | habitat= ""FALSE"" | environmentalMedium= ""TRUE"" | yearCollected= ""TRUE"" | permitInformation= ""FALSE"" | preservative= ""TRUE"" | derivedGeneticDataX= ""FALSE"""	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	"materialSampleID= ""FALSE"" | locality= ""FALSE"" | coordinates= ""FALSE"" | country= ""TRUE"" | habitat= ""FALSE"" | environmentalMedium= ""TRUE"" | yearCollected= ""TRUE"" | permitInformation= ""FALSE"" | preservative= ""TRUE"" | derivedGeneticDataX= ""FALSE"""	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	Courtney Weyand	NA	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1/16/13	FALSE
TRUE	TRUE	TRUE	"materialSampleID = ""True”|locality = ”False”|coordinates = ""False”|country = ""True”|habitat = ""True”|environmentalMedium = ""True”|yearCollected = ""False”|permitInformation = ""True”|preservative = ""False”|derivedGeneticDataX = ""False”"	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	"materialSampleID = ""True”|locality = ”True”|coordinates = ""Most”|country = ""True”|habitat = ""True”|environmentalMedium = ""True”|yearCollected = ""Most”|permitInformation = ""True”|preservative = ""False”|derivedGeneticDataX = ""False”"	FALSE	FALSE	TRUE	MOST	TRUE	TRUE	TRUE	MOST	TRUE	TRUE	Tanner Anderson	Eric	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	2/12/13	TRUE
TRUE	TRUE	TRUE	"materialSampleID = ""TRUE”|locality = ""MOST”| coordinates = ""FALSE not given georeferenced from locality”| country = ""MOST”| habitat = ""TRUE was intuitive”| environmentalMedium = ""TRUE was intuitive”|yearCollected = ""FALSE not given”| permitInformation = ""TRUE described but permit # was not given"" | preservative = ""FALSE not given"" | derivedGeneticDataX = ""TRUE"""	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	MOST	FALSE	MOST	TRUE	"materialSampleID = ""TRUE”|locality = ""MOST”| coordinates = ""FALSE not given georeferenced from locality”| country = ""MOST”| habitat = ""TRUE was intuitive”| environmentalMedium = ""TRUE was intuitive”|yearCollected = ""FALSE not given”| permitInformation = ""TRUE described but permit # was not given"" | preservative = ""FALSE not given"" | derivedGeneticDataX = ""TRUE"""	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	MOST	FALSE	MOST	TRUE	Thienthanh Trinh	Eric	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	2/14/13	TRUE
TRUE	TRUE	FALSE	"materialSampleID =""true""| locality =""true""| coordinates =""true""| country =""true""| habitat=""true""| environmentalMedium =""true""| yearCollected =""true""| permitInformation =""some""| preservative =""false""| derivedGeneticDataX =""some""|"	SOME	FALSE	SOME	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"materialSampleID =""true""| locality =""true""| coordinates =""true""| country =""true""| habitat=""true""| environmentalMedium =""true""| yearCollected =""true""| permitInformation =""some""| preservative =""false""| derivedGeneticDataX =""some""|"	SOME	FALSE	SOME	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Alonso Delgado	Andrea	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	4/8/13	NA
TRUE	TRUE	TRUE	"materialSampleID= ""TRUE"" | locality= ""MOST"" | coordinates= ""MOST"" | country= ""MOST"" | habitat= ""FALSE"" | environmentalMedium= ""TRUE"" | yearCollected= ""MOST"" | permitInformation= ""FALSE"" | preservative= ""FALSE""| derivedGeneticDataX= ""TRUE"""	TRUE	FALSE	FALSE	MOST	TRUE	FALSE	MOST	MOST	MOST	TRUE	"materialSampleID= ""TRUE"" | locality= ""MOST"" | coordinates= ""MOST"" | country= ""MOST"" | habitat= ""FALSE"" | environmentalMedium= ""TRUE"" | yearCollected= ""MOST"" | permitInformation= ""FALSE"" | preservative= ""FALSE""| derivedGeneticDataX= ""TRUE"""	TRUE	FALSE	FALSE	MOST	TRUE	FALSE	MOST	MOST	MOST	TRUE	Courtney Weyand	Andrea	nonmarine	TRUE	FALSE	FALSE	FALSE	MOST	FALSE	TRUE	FALSE	FALSE	MOST	MOST	TRUE	4/10/13	TRUE
TRUE	TRUE	TRUE	"materialSampleID = ""TRUE"" | locality = ""TRUE"" | coordinates=""MOST"" | country = ""TRUE"" | habitat = ""TRUE"" | environmentalMedium = ""TRUE"" | yearCollected = ""MOST"" | permitInformation = FALSE|preservative = FALSE|derivedGeneticDataX = FALSE"	FALSE	FALSE	FALSE	MOST	TRUE	TRUE	TRUE	MOST	TRUE	TRUE	"materialSampleID = ""TRUE"" | locality = ""TRUE"" | coordinates=""MOST"" | country = ""TRUE"" | habitat = ""TRUE"" | environmentalMedium = ""TRUE"" | yearCollected = ""MOST"" | permitInformation = FALSE|preservative = FALSE|derivedGeneticDataX = FALSE"	FALSE	FALSE	FALSE	MOST	TRUE	TRUE	TRUE	MOST	TRUE	TRUE	Emily Farrell	Eric	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	4/14/13	TRUE
TRUE	TRUE	FALSE	materialSampleID = TRUE|locality = TRUE|coordinates = TRUE&TRUE|country = TRUE|habitat = TRUE|environmentalMedium = TRUE|yearCollected = MOST|permitInformation = FALSE|preservative = FALSE|derivedGeneticDataX = FALSE	FALSE	FALSE	FALSE	MOST	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	materialSampleID = TRUE|locality = TRUE|coordinates = TRUE&TRUE|country = TRUE|habitat = TRUE|environmentalMedium = TRUE|yearCollected = MOST|permitInformation = FALSE|preservative = FALSE|derivedGeneticDataX = FALSE	FALSE	FALSE	FALSE	MOST	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Randi Barton	Briana	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	5/15/13	NA
TRUE	TRUE	TRUE	"materialSampleID= ""TRUE"" | locality= ""TRUE"" | coordinates= ""TRUE"" | country= ""TRUE"" | habitat= ""TRUE"" | environmentalMedium= ""TRUE"" | yearCollected= ""FALSE"" | permitInformation= ""FALSE"" | preservative= ""FALSE""| derivedGeneticDataX= ""TRUE"""	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"materialSampleID= ""TRUE"" | locality= ""TRUE"" | coordinates= ""TRUE"" | country= ""TRUE"" | habitat= ""TRUE"" | environmentalMedium= ""TRUE"" | yearCollected= ""FALSE"" | permitInformation= ""FALSE"" | preservative= ""FALSE""| derivedGeneticDataX= ""TRUE"""	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Courtney Weyand	Andrea	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	6/4/13	TRUE
TRUE	TRUE	FALSE	"materialSampleID = ""TRUE”| locality = ""TRUE” | coordinates = ""TRUE” | country = ""TRUE” | habitat = ""TRUE” | environmentalMedium = ""TRUE” | yearCollected = ""TRUE” |permitInformation = ""FALSE” |preservative = ""TRUE"" |derivedGeneticDataX = ""FALSE”"	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"materialSampleID = ""TRUE”| locality = ""TRUE” | coordinates = ""TRUE” | country = ""TRUE” | habitat = ""TRUE” | environmentalMedium = ""TRUE” | yearCollected = ""TRUE” |permitInformation = ""FALSE” |preservative = ""TRUE"" |derivedGeneticDataX = ""FALSE”"	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Thienthanh Trinh	Eric	nonmarine	TRUE	FALSE	FALSE	FALSE	SOME	FALSE	TRUE	FALSE	FALSE	TRUE	MOST	FALSE	7/8/13	NA
TRUE	TRUE	TRUE	"materialSampleID = ""TRUE”| locality = ""TRUE” | coordinates = ""FALSE” | country = ""TRUE” | habitat = ""TRUE” | environmentalMedium = ""TRUE” | yearCollected = ""TRUE” |permitInformation = ""FALSE” |preservative = ""FALSE” |derivedGeneticDataX = ""TRUE”"	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	"materialSampleID = ""TRUE”| locality = ""TRUE"" | coordinates = ""FALSE” | country = ""TRUE” | habitat = ""TRUE” | environmentalMedium = ""TRUE” | yearCollected = ""TRUE” |permitInformation = ""FALSE” |preservative = ""FALSE” |derivedGeneticDataX = ""TRUE”"	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Thienthanh Trinh	Eric	nonmarine	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	7/12/13	TRUE
TRUE	TRUE	TRUE	"materialSampleID = ""TRUE"" | locality = ""TRUE"" | coordinates = ""TRUE"" | country = ""TRUE"" | habitat = ""TRUE"" | environmentalMedium = ""TRUE"" | yearCollected = ""FALSE"" | permitInformation = ""TRUE"" | preservative = ""TRUE"" | derivedGeneticDataX = ""false"" |"	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"materialSampleID = ""TRUE"" | locality = ""TRUE"" | coordinates = ""TRUE"" | country = ""TRUE"" | habitat = ""TRUE"" | environmentalMedium = ""TRUE"" | yearCollected = ""FALSE"" | permitInformation = ""TRUE"" | preservative = ""TRUE"" | derivedGeneticDataX = ""false"" |"	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Alonso Delgado	Andrea	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	8/30/13	TRUE
TRUE	TRUE	TRUE	"materialSampleID = ""TRUE"" | locality = ""TRUE"" | coordinates = ""TRUE"" | country = ""TRUE"" | habitat = ""TRUE"" | environmentalMedium = ""TRUE"" | yearCollected = ""FALSE"" | permitInformation = ""FALSE"" | preservative = ""FALSE"" | derivedGeneticDataX= ""FALSE”"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"materialSampleID = ""TRUE"" | locality = ""TRUE"" | coordinates = ""TRUE"" | country = ""TRUE"" | habitat = ""TRUE"" | environmentalMedium = ""TRUE"" | yearCollected = ""FALSE"" | permitInformation = ""FALSE"" | preservative = ""FALSE"" | derivedGeneticDataX= ""FALSE”"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Samantha Queeno	Michelle	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	9/13/13	FALSE
